193.136.191.20;88.197.53.226;0.0757060050964
198.133.224.149;192.1.249.138;0.0397448539734
198.133.224.149;129.97.74.14;0.0206367969513
212.199.61.205;193.167.187.186;0.143826007843
195.130.124.2;13.7.64.22;0.221212863922
192.1.249.138;141.20.103.211;0.116703987122
128.227.150.12;72.36.112.78;0.04176902771
195.113.161.14;192.42.43.23;0.0170578956604
193.145.46.243;193.167.187.186;0.0777108669281
193.136.191.20;195.130.124.2;0.0838329792023
192.41.135.219;192.42.43.23;0.00248003005981
88.255.99.251;193.136.191.20;0.103451967239
193.1.170.135;139.78.141.245;0.14390707016
88.255.99.251;88.197.53.226;0.0956289768219
192.41.135.219;198.133.224.149;0.152018070221
198.133.224.149;202.112.28.100;0.237470149994
192.36.94.3;160.80.221.39;0.0604958534241
85.23.168.77;CPU;0.140897755611
212.199.61.205;139.78.141.245;0.250540018082
139.30.240.192;88.197.53.226;0.0642910003662
141.20.103.211;139.30.240.192;0.00955295562744
193.167.187.186;212.235.189.115;0.0478000640869
193.157.115.251;198.133.224.149;0.140002965927
200.129.132.19;139.78.141.245;0.272262811661
212.199.61.205;193.10.64.36;0.130126953125
212.235.189.115;193.1.170.135;0.0533919334412
128.84.154.45;160.80.221.39;0.13671708107
85.23.168.77;141.20.103.211;0.0450270175934
198.133.224.149;200.0.206.137;0.179291963577
198.133.224.149;139.30.240.192;0.1304500103
150.244.58.161;192.1.249.138;0.106976032257
212.199.61.205;150.244.58.161;0.119482040405
88.255.99.251;129.69.210.97;0.0738489627838
139.78.141.245;165.91.55.10;0.0217640399933
85.23.168.77;161.106.240.18;0.0515031814575
165.91.55.10;139.30.240.192;0.145555019379
139.19.158.227;161.106.240.18;0.0466318130493
193.136.191.20;129.97.74.14;0.141165971756
165.91.55.10;193.157.115.251;0.159337997437
130.195.4.68;200.17.202.194;0.364863157272
193.145.46.243;129.97.74.14;0.152987957001
85.23.168.77;192.41.135.219;0.0500960350037
193.0.109.23;128.227.150.12;0.15863609314
212.199.61.205;136.145.115.194;0.246903896332
195.130.124.2;88.197.53.226;0.0102708339691
192.36.94.3;198.133.224.149;0.145851135254
139.78.141.245;150.244.58.161;0.153729200363
193.157.115.251;200.129.132.19;0.33861207962
139.30.240.192;212.235.189.115;0.0304429531097
193.157.115.251;72.36.112.78;0.138849973679
128.227.150.12;192.36.94.3;0.160365104675
195.130.124.2;193.0.109.23;0.0942759513855
160.80.221.39;193.1.13.12;0.0533149242401
161.106.240.18;193.1.170.135;0.0275440216064
212.199.61.205;195.113.161.14;0.120048999786
13.7.64.22;192.36.94.3;0.190647125244
200.129.132.19;192.36.94.3;0.338310003281
128.227.150.12;139.30.240.192;0.149606227875
165.91.55.10;202.112.28.100;0.208612918854
212.235.189.115;141.20.103.211;0.0413942337036
128.84.154.45;139.78.141.245;0.0433778762817
161.106.240.18;CPU;0.0196877121521
150.244.58.161;202.112.28.100;0.211944818497
193.167.187.186;193.1.13.12;0.0559611320496
193.136.191.20;128.84.154.45;0.130607843399
192.1.249.138;150.244.58.161;0.106808900833
193.0.109.23;193.145.46.243;0.0734770298004
193.136.191.20;139.30.240.192;0.0705230236053
193.167.187.186;195.113.161.14;0.0360448360443
192.36.94.3;192.42.43.23;0.0453858375549
165.91.55.10;192.36.94.3;0.162275075912
195.130.124.2;139.30.240.192;0.0752680301666
193.157.115.251;195.113.161.14;0.0328631401062
